id,mask,volume
la_022,/tf/data/msd/raw/Task02_Heart/train/la_022/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_022/volume.nii.gz
la_011,/tf/data/msd/raw/Task02_Heart/train/la_011/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_011/volume.nii.gz
la_020,/tf/data/msd/raw/Task02_Heart/train/la_020/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_020/volume.nii.gz
la_019,/tf/data/msd/raw/Task02_Heart/train/la_019/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_019/volume.nii.gz
la_024,/tf/data/msd/raw/Task02_Heart/train/la_024/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_024/volume.nii.gz
la_017,/tf/data/msd/raw/Task02_Heart/train/la_017/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_017/volume.nii.gz
la_005,/tf/data/msd/raw/Task02_Heart/train/la_005/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_005/volume.nii.gz
la_021,/tf/data/msd/raw/Task02_Heart/train/la_021/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_021/volume.nii.gz
la_010,/tf/data/msd/raw/Task02_Heart/train/la_010/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_010/volume.nii.gz
la_009,/tf/data/msd/raw/Task02_Heart/train/la_009/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_009/volume.nii.gz
la_026,/tf/data/msd/raw/Task02_Heart/train/la_026/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_026/volume.nii.gz
la_014,/tf/data/msd/raw/Task02_Heart/train/la_014/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_014/volume.nii.gz
la_030,/tf/data/msd/raw/Task02_Heart/train/la_030/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_030/volume.nii.gz
la_003,/tf/data/msd/raw/Task02_Heart/train/la_003/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_003/volume.nii.gz
la_018,/tf/data/msd/raw/Task02_Heart/train/la_018/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_018/volume.nii.gz
la_007,/tf/data/msd/raw/Task02_Heart/train/la_007/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_007/volume.nii.gz
la_023,/tf/data/msd/raw/Task02_Heart/train/la_023/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_023/volume.nii.gz
la_016,/tf/data/msd/raw/Task02_Heart/train/la_016/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_016/volume.nii.gz
la_004,/tf/data/msd/raw/Task02_Heart/train/la_004/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_004/volume.nii.gz
la_029,/tf/data/msd/raw/Task02_Heart/train/la_029/segmentation.nii.gz,/tf/data/msd/raw/Task02_Heart/train/la_029/volume.nii.gz
